StudentID,Age,Gender,AttendancePercentage,StudyHoursPerWeek,AssignmentCompletionRate,PreviousExamScore,ParticipationScore,ExtracurricularActivities,InternetAccessAtHome,ParentEducationLevel,FinalExamScore
1,18,1,95,9,60,72,3,0,0,2,65.09177246847007
2,19,0,93,38,91,69,5,1,1,3,68.19176688525204
3,17,1,68,5,57,51,1,1,0,1,44.59956985460055
4,19,0,87,36,82,83,4,1,0,3,71.77135527823783
5,19,1,70,30,91,51,8,0,1,1,66.42306746692957
6,16,1,73,21,42,90,6,0,0,1,57.58673385300264
7,17,0,98,31,100,96,1,1,0,2,67.06722120435384
8,17,0,78,28,88,88,1,0,0,1,62.42291849875471
9,17,1,74,39,83,91,3,0,1,1,65.672708431403
10,19,0,87,30,71,63,10,1,0,1,74.46611533773428
11,18,0,83,27,49,63,8,0,1,2,65.54756558158212
12,17,0,67,26,79,97,8,0,1,1,75.56296115076765
13,19,0,68,8,54,99,3,1,1,1,51.66634663385937
14,16,0,92,13,44,50,7,0,0,1,51.80220812764224
15,18,1,92,8,43,52,3,1,0,3,47.61663657460886
16,16,1,78,11,97,66,4,0,0,2,63.71571506282972
17,18,0,62,27,67,47,9,0,1,3,57.87446227335986
18,19,1,69,6,92,49,4,1,0,2,56.65319549782394
19,15,1,99,28,91,47,3,1,1,2,69.67735158368754
20,18,0,60,35,90,59,5,0,0,3,57.25353096186834
21,16,1,88,35,92,47,7,1,1,2,64.84364750424763
22,19,0,93,38,43,48,5,1,0,2,59.62679993046109
23,18,0,72,28,54,46,4,0,0,3,51.48984681845422
24,15,1,60,30,56,53,8,1,0,1,61.16681780753457
25,15,0,93,20,83,67,4,0,1,2,66.6378832988903
26,17,0,88,17,42,41,2,0,1,3,55.75260614918696
27,17,0,72,19,49,96,10,1,0,2,62.66062615569309
28,16,0,88,31,86,82,6,0,1,3,79.10108429982041
29,18,0,98,8,81,47,2,1,1,1,58.04663098052579
30,18,1,83,20,95,52,3,0,1,2,54.2349946648623
31,17,1,85,34,62,60,1,1,0,1,46.61020356323621
32,18,0,76,34,57,86,5,1,0,1,60.5749046670968
33,18,0,66,40,40,67,9,0,0,3,68.7954385573638
34,15,1,72,7,74,74,2,1,1,2,61.17615777964188
35,17,0,64,26,92,62,7,1,0,2,64.95673757497318
36,19,1,85,26,97,85,5,1,1,2,72.78863508253693
37,17,0,62,16,70,54,2,0,1,2,44.919515016894
38,19,0,66,25,98,41,8,0,0,2,62.41305340321747
39,15,0,98,8,83,100,6,1,0,3,74.32919157250839
40,16,0,60,35,40,90,4,1,0,2,67.049710254998
41,18,0,76,35,42,51,4,0,1,1,46.96722199925632
42,15,0,84,27,42,96,2,0,1,1,63.76218852038114
43,18,0,62,24,76,91,3,0,0,2,71.53535670765584
44,16,1,74,19,58,75,7,1,1,3,67.02291407911227
45,16,1,88,27,68,42,3,0,0,3,50.3786164823792
46,15,1,91,32,64,44,5,1,0,2,52.73834901205325
47,16,0,85,20,72,42,10,0,0,1,66.52200602526179
48,19,0,75,25,75,96,6,1,0,2,72.50261602784349
49,16,0,84,19,100,86,6,0,0,2,81.46204548623341
50,18,0,87,21,68,58,4,1,0,2,62.79223924342213
51,18,0,68,17,97,41,6,0,1,3,56.62580037915567
52,18,0,60,23,65,83,3,0,1,3,55.08642635696042
53,18,0,88,34,43,76,7,1,0,1,60.36921149760524
54,19,1,81,22,88,93,7,0,0,1,76.64682169139876
55,17,0,75,18,53,56,4,0,1,2,45.927758745833685
56,15,1,100,40,89,53,2,0,1,1,71.59995173797262
57,18,1,100,40,66,67,7,0,0,2,76.39577605609432
58,16,0,66,24,72,66,3,1,0,1,59.48728000236338
59,18,0,73,23,61,93,1,1,1,2,53.19086444126104
60,16,1,88,11,87,49,2,0,0,3,56.10018299444932
61,16,1,78,8,42,42,10,1,1,2,53.05347189623215
62,18,0,78,38,62,75,9,1,0,3,72.26403192229714
63,19,0,61,6,60,77,8,1,1,3,62.34256440402975
64,16,1,100,9,80,95,6,1,0,1,72.98201474782329
65,16,0,74,14,62,64,6,1,0,1,56.32008237837389
66,18,0,62,36,43,61,1,0,0,3,51.44963918267659
67,16,0,70,17,60,87,2,1,1,2,52.00250018608417
68,16,1,89,9,76,78,4,0,0,2,61.01669281789652
69,18,1,99,14,82,86,3,1,1,1,69.9791841601702
70,18,1,77,14,70,69,1,0,1,2,59.29860186514767
71,15,0,61,31,60,60,8,0,1,2,55.60612630795496
72,19,0,91,25,65,69,7,0,1,2,77.44849494798191
73,19,1,67,12,80,67,4,1,0,3,51.14668619417186
74,16,1,81,5,97,70,9,1,0,3,79.40139412039284
75,19,1,65,32,74,96,4,0,0,2,73.44795074496703
76,16,0,71,18,77,91,1,0,1,1,53.84949203875136
77,15,1,99,25,63,65,10,1,0,2,65.43898331514495
78,18,1,95,34,50,82,1,1,1,1,66.14932084423612
79,18,0,74,25,80,61,1,0,1,3,54.36299407474365
80,18,0,87,13,68,60,1,1,1,2,49.41526475195701
81,19,0,77,21,86,40,4,1,0,2,65.70850604490748
82,15,1,61,9,94,76,1,1,1,1,50.38048779900225
83,19,0,72,35,99,52,2,1,0,1,57.16530701213986
84,19,0,74,23,42,60,4,1,0,2,49.458008434511
85,15,1,79,40,40,85,7,1,0,2,53.50275586281757
86,15,0,88,37,91,48,2,0,1,1,63.05683879553325
