StudentID,Age,Gender,AttendancePercentage,StudyHoursPerWeek,AssignmentCompletionRate,PreviousExamScore,ParticipationScore,ExtracurricularActivities,InternetAccessAtHome,ParentEducationLevel,FinalExamScore
1,18,Male,95,9,60,72,3,No,No,Graduate,65.09177246847007
2,19,Female,93,38,91,69,5,Yes,Yes,Postgraduate,68.19176688525204
3,17,Male,68,5,57,51,1,Yes,No,High School,44.59956985460055
4,19,Female,87,36,82,83,4,Yes,No,Postgraduate,71.77135527823783
5,19,Male,70,30,91,51,8,No,Yes,High School,66.42306746692957
6,16,Male,73,21,42,90,6,No,No,High School,57.58673385300264
7,17,Female,98,31,100,96,1,Yes,No,Graduate,67.06722120435384
8,17,Female,78,28,88,88,1,No,No,High School,62.42291849875471
9,17,Male,74,39,83,91,3,No,Yes,High School,65.672708431403
10,19,Female,87,30,71,63,10,Yes,No,High School,74.46611533773428
11,18,Female,83,27,49,63,8,No,Yes,Graduate,65.54756558158212
12,17,Female,67,26,79,97,8,No,Yes,High School,75.56296115076765
13,19,Female,68,8,54,99,3,Yes,Yes,High School,51.66634663385937
14,16,Female,92,13,44,50,7,No,No,High School,51.80220812764224
15,18,Male,92,8,43,52,3,Yes,No,Postgraduate,47.61663657460886
16,16,Male,78,11,97,66,4,No,No,Graduate,63.715715062829716
17,18,Female,62,27,67,47,9,No,Yes,Postgraduate,57.87446227335986
18,19,Male,69,6,92,49,4,Yes,No,Graduate,56.653195497823944
19,15,Male,99,28,91,47,3,Yes,Yes,Graduate,69.67735158368754
20,18,Female,60,35,90,59,5,No,No,Postgraduate,57.25353096186834
21,16,Male,88,35,92,47,7,Yes,Yes,Graduate,64.84364750424763
22,19,Female,93,38,43,48,5,Yes,No,Graduate,59.62679993046109
23,18,Female,72,28,54,46,4,No,No,Postgraduate,51.48984681845422
24,15,Male,60,30,56,53,8,Yes,No,High School,61.16681780753457
25,15,Female,93,20,83,67,4,No,Yes,Graduate,66.6378832988903
26,17,Female,88,17,42,41,2,No,Yes,Postgraduate,55.75260614918696
27,17,Female,72,19,49,96,10,Yes,No,Graduate,62.66062615569309
28,16,Female,88,31,86,82,6,No,Yes,Postgraduate,79.10108429982041
29,18,Female,98,8,81,47,2,Yes,Yes,High School,58.04663098052579
30,18,Male,83,20,95,52,3,No,Yes,Graduate,54.2349946648623
31,17,Male,85,34,62,60,1,Yes,No,High School,46.61020356323621
32,18,Female,76,34,57,86,5,Yes,No,High School,60.574904667096796
33,18,Female,66,40,40,67,9,No,No,Postgraduate,68.7954385573638
34,15,Male,72,7,74,74,2,Yes,Yes,Graduate,61.176157779641876
35,17,Female,64,26,92,62,7,Yes,No,Graduate,64.95673757497318
36,19,Male,85,26,97,85,5,Yes,Yes,Graduate,72.78863508253693
37,17,Female,62,16,70,54,2,No,Yes,Graduate,44.919515016893996
38,19,Female,66,25,98,41,8,No,No,Graduate,62.41305340321747
39,15,Female,98,8,83,100,6,Yes,No,Postgraduate,74.32919157250839
40,16,Female,60,35,40,90,4,Yes,No,Graduate,67.049710254998
41,18,Female,76,35,42,51,4,No,Yes,High School,46.967221999256324
42,15,Female,84,27,42,96,2,No,Yes,High School,63.76218852038114
43,18,Female,62,24,76,91,3,No,No,Graduate,71.53535670765584
44,16,Male,74,19,58,75,7,Yes,Yes,Postgraduate,67.02291407911227
45,16,Male,88,27,68,42,3,No,No,Postgraduate,50.3786164823792
46,15,Male,91,32,64,44,5,Yes,No,Graduate,52.73834901205325
47,16,Female,85,20,72,42,10,No,No,High School,66.52200602526179
48,19,Female,75,25,75,96,6,Yes,No,Graduate,72.50261602784349
49,16,Female,84,19,100,86,6,No,No,Graduate,81.46204548623341
50,18,Female,87,21,68,58,4,Yes,No,Graduate,62.79223924342213
51,18,Female,68,17,97,41,6,No,Yes,Postgraduate,56.62580037915567
52,18,Female,60,23,65,83,3,No,Yes,Postgraduate,55.08642635696042
53,18,Female,88,34,43,76,7,Yes,No,High School,60.369211497605235
54,19,Male,81,22,88,93,7,No,No,High School,76.64682169139876
55,17,Female,75,18,53,56,4,No,Yes,Graduate,45.927758745833685
56,15,Male,100,40,89,53,2,No,Yes,High School,71.59995173797262
57,18,Male,100,40,66,67,7,No,No,Graduate,76.39577605609432
58,16,Female,66,24,72,66,3,Yes,No,High School,59.48728000236338
59,18,Female,73,23,61,93,1,Yes,Yes,Graduate,53.19086444126104
60,16,Male,88,11,87,49,2,No,No,Postgraduate,56.10018299444932
61,16,Male,78,8,42,42,10,Yes,Yes,Graduate,53.053471896232146
62,18,Female,78,38,62,75,9,Yes,No,Postgraduate,72.26403192229714
63,19,Female,61,6,60,77,8,Yes,Yes,Postgraduate,62.34256440402975
64,16,Male,100,9,80,95,6,Yes,No,High School,72.98201474782329
65,16,Female,74,14,62,64,6,Yes,No,High School,56.32008237837389
